trait,attribute,family
cephalic scales,lowest number,viperidae
subcaudals,lowest number,viperidae
ventrals,low number,viperidae
lack of sexual dimorphism,no adjective,viperidae
dorsal coloration of the tail,well-defined and solid brick red,viperidae
lateral stripe,absent in adult males,viperidae
eye coloration,green in both sexes,viperidae
ventral scale counts,no higher than 156,viperidae
scales at midbody,21 (rarely 23),viperidae
upper labials,9–11,viperidae
suture between nasals and upper labials,distinct,viperidae
supraocular,single,viperidae
color above,green,viperidae
color below,pale green to whitish,viperidae
ventrolateral stripe in males,bright bicolored orange or brown (below) and white (above),viperidae
ventrolateral stripe in females,white,viperidae
ventrals,155–169,viperidae
subcaudals,52–76,viperidae
hemipenes,"long and slender, smooth, without spines",viperidae
total length,770 mm,viperidae
tail length,170 mm,viperidae
dorsal scale rows at midbody,21 (rarely 19),viperidae
overall color,bright green,viperidae
svl in males,414–692 mm,viperidae
svl in females,417–710 mm,viperidae
hemipenis,"deeply forked, reaching the 25th subcaudal",viperidae
ventrals in males,158–170,viperidae
ventrals in females,161–169,viperidae
subcaudals in males,62–76,viperidae
subcaudals in females,55–66,viperidae
nasal and first supralabial,separate,viperidae
tal in males,107–194 mm,viperidae
tal in females,75–139 mm,viperidae
tal/tl in males,0.18–0.22,viperidae
tal/tl in females,0.14–0.19,viperidae
palatine,with four teeth,viperidae
pterygoid,with eight teeth,viperidae
dentary teeth,10–12,viperidae
maxilla,with one functional and 5–6 replacement fangs,viperidae
body in males,"shade of bright green throughout, slightly lighter ventrally",viperidae
postocular strip in males,red and white,viperidae
tail in both sexes,"may be rusty, red or brown",viperidae
ventrolateral aspect of the tail in males,may bear a discontinuous stripe,viperidae
ventral scales,with a slight yellowish tinge,viperidae
eyes of both sexes,blood red,viperidae
dorsal body of yingjiangensis,"olive drab, without cross bands on the scales",viperidae
bicolor ventrolateral stripe on each side of males of yingjiangensis,present,viperidae
eyes of yingjiangensis,firebrick,viperidae
tail of yingjiangensis,"red, mottled with green laterally, and the ventrolateral stripes discontinuous",viperidae
hemipenes of yingjiangensis,"long, reaching 23rd to 25th sc, forked opposite 5-6th sc, bifurcated near the base and the sulcus spermaticus split from the apex to base without spines",viperidae
dsr of yingjiangensis,21,viperidae
ven of yingjiangensis,164–168,viperidae
sc of yingjiangensis,60–76,viperidae
tal/tl of yingjiangensis,0.199–0.219,viperidae
scales,21 longitudinal rows at midbody,viperidae
upper labials,10-11(12),viperidae
head scales,"small, subequal, feebly imbricate, smooth or weakly keeled",viperidae
supraoculars,"narrow, undivided",viperidae
interocular scales,9-11,viperidae
temporal scales,smooth,viperidae
color above and below,green,viperidae
ventrolateral stripe,"faint, present in all males, absent in females",viperidae
end of tail,not mottled brown,viperidae
ventrals (males),162-172,viperidae
ventrals (females),160-181,viperidae
subcaudals (males),68-83,viperidae
subcaudals (females),55-71,viperidae
hemipenes,without spines,viperidae
total length (males),610 mm,viperidae
total length (females),730 mm,viperidae
head shape,"triangular, flat on top",viperidae
snout profile,subovate,viperidae
neck,"evident, slim compared to mid-trunk",viperidae
tail,tapering to a fine point,viperidae
scales along the lateral aspects,rather smooth,viperidae
dorsal scales,obtusely keeled on dorsal aspect covering the vertebral and paravertebral rows,viperidae
postocular,"1, very small",viperidae
sl,11/10,viperidae
il,12,viperidae
pv,3,viperidae
ven,164,viperidae
sc,79 pairs,viperidae
dsr,21:21:15,viperidae
tl,633.0 mm,viperidae
coloration in alcohol,bluish overall,viperidae
dorsum,light blue all across the body,viperidae
head,brownish tinge,viperidae
tail,brownish/brick-red tinge,viperidae
mental and gular regions,cream,viperidae
venter,lighter shade of blue than the dorsum,viperidae
posterior parts of subcaudals,reddish tinge,viperidae
white streak,from below the eye to up to jaw angle,viperidae
white ventrolateral stripe,continuing across neck extending posteriorly to tail base,viperidae
svl,252–701 mm,viperidae
tal,58–147 mm,viperidae
hl,16.3–36.8 mm,viperidae
hw,10.0–22.2 mm,viperidae
dsr,21–23(near neck): 21(midbody): 15–17(near tail),viperidae
pv,1–2,viperidae
v,164–171,viperidae
sc,"74–80 pairs (males), 56–66 pairs (females)",viperidae
sl,12,viperidae
il,13–14,viperidae
snout,extremely elevated,viperidae
tail tip,white,viperidae
ventrals,fewer than 145,viperidae
midbody dorsal scale rows,25-27,viperidae
overall coloration,brown,viperidae
darker crossbands,17–25,viperidae
background colour in males,various shades of dark greyish-brown,viperidae
irregular dorsolateral blotches,darker,viperidae
"irregular, elongated blotch",same colour as dorsolateral blotches,viperidae
background colour between the blotches,often darker than on the sides of body,viperidae
scales,heavily powdered with dark,viperidae
pattern in females,less contrasted but not distinctly paler than in males,viperidae
females color,shades of dark yellow-ochre,viperidae
darker blotches in females,"without the dotted pattern, with broad darker edges and a wide lighter centre",viperidae
pattern in males,more complex,viperidae
snout,distinctly projected and raised,viperidae
snout(from the side),strongly obliquely truncated,viperidae
snout(from the above),subrectangular,viperidae
internasals,"projected, strongly spatulate and bilobate",viperidae
msr,19 or more often 21,viperidae
1st supralabial,distinct from nasal,viperidae
2nd supralabials,bordering the whole of the anterior margin of the loreal pit,viperidae
supraoculars,"1 to 3, narrow, flat or barely convex",viperidae
ven in males,144–149,viperidae
ven in females,151–156,viperidae
occipital scales,smooth or weakly keeled,viperidae
temporal scales,smooth or weakly keeled,viperidae
il of first pair,not in contact each with the other,viperidae
gular scales,strongly keeled,viperidae
splenial,separate from the angular,viperidae
dorsal scale microdermatoglyphic pattern,rounded cells that are strongly covered with longitudinal parallel lines and comb-like ridges,viperidae
color pattern,lack of pronounced sexual or ontogenetic differences,viperidae
head pattern,ornate,viperidae
dorsal markings,brown,viperidae
ground,green,viperidae
ground bordered,cream scales,viperidae
pre- and postocular stripe,"wide, brown",viperidae
labial pattern,ornate,viperidae
labial pattern,"brown spots bordered by white or black, on green to cream ground color",viperidae
large brown spot,conspicuous,viperidae
dorsal body pattern,broad brick-red to brown rings,viperidae
light interspaces of body pattern,wide green bands,viperidae
base of tail,whitish and brown rings,viperidae
mental scale,slightly convex anterior margin,viperidae
ventral scale counts,139-146,viperidae
number of dorsal scale rows at midbody,25,viperidae
venter,"heavily spotted, with chessboardlike pattern",viperidae
dorsal head color,brown,viperidae
pre- and postocular stripe,"wide, brown",viperidae
venter,heavily patterned with brown rings and midventral stripe,viperidae
tail pattern,light reddish brown tail tip with no or only indistinct bands,viperidae
eye color,reddish,viperidae
pattern,dark or very dark,viperidae
darker crossbands,22-35,viperidae
males' background color,shades of dark greyish-brown,viperidae
areas between blotches,"darker, heavily powdered with dark and light dots or blotches",viperidae
females' pattern,"less complex and often darker than males, in shades of dark brown",viperidae
snout,"distinctly projected and raised, strongly obliquely truncated, subrectangular",viperidae
internasals,"projected, strongly spatulate and bilobate, distinctly upturned",viperidae
dsr at midbody,"usually 21, rarely 19, 20 or 23",viperidae
1st supralabial,distinct from nasal,viperidae
2nd supralabials,bordering the whole of the anterior margin of the loreal pit,viperidae
supraoculars,"2-4, small, narrow, convex, granular, raised",viperidae
ventral scales (ven),159-167,viperidae
subcaudal count (sc),43-56,viperidae
occipital and temporal scales,moderately keeled or smooth,viperidae
il of the first pair,not in contact each with other,viperidae
hemipenes,"short, reaching 9th sc, with spines",viperidae
internasals,separated by 2 (rarely 1) scales,viperidae
background colour,"shades of green, including green, blue or green and blue",viperidae
crossbands,"blue and white, red and white, blue, blue and red or white",viperidae
postocular stripe,"variable in adult females, white, and red in juveniles and males",viperidae
belly,"uniform or blotched, with blue or red in adult females, uniform or with red dots in males and juveniles",viperidae
ven,"128– 148 in males, 127–147 in females",viperidae
sc,"45–53 in males, 40–54 in females",viperidae
msr,"21–23 in males, 21–29 in females",viperidae
keeling,variable in both sexes,viperidae
scales on the snout,"4–7 in males, 5–8 in females",viperidae
3rd sl,nearly always (87 / 90 occurrences) separated from the subocular by 1 scale or 2 scales,viperidae
tail,"long in males with a ratio tal/tl between 0.146 and 0.182, moderate to long in females with range 0.139–0.183",viperidae
occipital scales,distinctly keeled in males,viperidae
internasals,separated by 1 or 2 scales,viperidae
cephalic scales,6-7,viperidae
msr,18-19,viperidae
sl,7-8 on each side or a total number of 15-16,viperidae
3rd sl and subocular,"0, rarely 1 scale",viperidae
scales on the snout,4-5,viperidae
infralabials,16-17,viperidae
body background coloration in males,greenish-turquoise,viperidae
body background coloration in females,seemingly more green,viperidae
dorsal blotches,black with unfilled dorsals so some kind of net is visible,viperidae
postocular stripe,black or rarely white,viperidae
belly,uniform,viperidae
ven,131-135 in males and 129 in female,viperidae
sc,45-46 in males and 44 in female,viperidae
tail,moderate with a ratio tal/tl between 0.143 and 0.155,viperidae
occipital scales in males,weekly keeled,viperidae
occipital scales in females,"strongly keeled, like partly raised",viperidae
tl/t,9.65,viperidae
subcaudals,"few pairs, 15",viperidae
distal pairs,forming an oval knob-like structure,viperidae
lateral dorsal caudal scales,projected,viperidae
several rows of lateral dorsal scales,weakly keeled,viperidae
body bands,dark,viperidae
ventrolateral stripe,lacking,viperidae
ground color,dull-yellow to brown,viperidae
svl in females,557 mm,viperidae
svl in a male,523 mm,viperidae
tal/svl ratio in females,0.15-0.16,viperidae
tal/svl ratio in the single male,0.23,viperidae
dorsal scales rows at midbody,21,viperidae
ventral scales in females,183-186,viperidae
ventral scales in the single male,186,viperidae
subcaudal scales in females,54-58,viperidae
subcaudal scales in the single male,74,viperidae
supralabials,10 or 11,viperidae
infralabials,12,viperidae
scales across the top of the head,9-12,viperidae
occipital and temporal scales,smooth,viperidae
internasals,in contact,viperidae
third and fourth supralabials,not contacting the subocular scale,viperidae
lacunolabial,present,viperidae
dorsal keels,nontuberculate,viperidae
infralabials,yellow with small black spots,viperidae
canthorostrals,absent,viperidae
anteriormost subcaudals,5-25,viperidae
distal subcaudals,divided,viperidae
ventrals,183-204,viperidae
subcaudals,49-64,viperidae
loreal,subtriangular,viperidae
canthals,narrow,viperidae
postocular stripe,black,viperidae
temporals,2-3,viperidae
head,black with yellow lines forming circular patterns or head yellow with heavy black stippling and marking,viperidae
supralabials,"green, heavily speckled in black",viperidae
dorsum,banded and lichenose,viperidae
body pattern,conspicuous pattern of subelliptical blotches,viperidae
base color,light brown or gray,viperidae
blotches color,brown,viperidae
blotches features,lighter at their center but with dark brown borders,viperidae
blotches positioning,opposite or alternating pairs meeting dorsally at midline or not in contact at all,viperidae
blotches size,3-5 scales wide on sides,viperidae
number of half-bands,"23-33 in males, 25-36 in females",viperidae
belly color,black or nearly so,viperidae
lateral belly color,lighter,viperidae
crown and parietal region,conspicuous dark brown markings,viperidae
cheek stripe,"strong, dark reddish brown",viperidae
tongue color,black,viperidae
tail tip color,light — yellow,viperidae
internasals,wider than long,viperidae
loreals shape,subquadrate,viperidae
preoculars,2,viperidae
postoculars,2 ( 60% ) or 3,viperidae
supralabials,"7 (95%), rarely 8",viperidae
infralabials,"10 (75%), occasionally 9 or 11",viperidae
scale rows at midbody,21,viperidae
paired apical pits,present but inconspicuous,viperidae
ventrals,"135-145 in males, 140-149 in females",viperidae
subcaudals,"35-44 in males, 30-38 in females",viperidae
head color,tan brown,viperidae
postocular stripes,black,viperidae
supralabials color,"usually yellowish tan, spotless",viperidae
head dorsal markings,"irregular spots or ""arabesques""",viperidae
throat color,white,viperidae
body color,dark brown to beige,viperidae
dorsal rhombuses,"23-31, irregular or incomplete, black, separated by ivory to dirty white scales",viperidae
inverted triangles color,interior the same as the ground color or darker,viperidae
iris color,"red-brown, becoming darker with age",viperidae
head scales,"small, barely smooth to tuberculate",viperidae
dorsals,"keeled, 31-39 rows",viperidae
vertebral and paravertebral scale rows,"very tuberculate, appearing as a vertebral keel",viperidae
ventral scales in males,204-228,viperidae
ventral scales in females,202-221,viperidae
subcaudals in males,46-58,viperidae
subcaudals in females,49-55,viperidae
maximum total length for males in ecuador,2327 mm,viperidae
maximum total length for females in ecuador,2342 mm,viperidae
maximum total length reported for the species,300 cm,viperidae
ground color in hatchlings and juveniles,tan brown to orange-brown,viperidae
rhombuses or triangles,dark brown and usually incomplete,viperidae
tail color in hatchlings and juveniles,pinkish,viperidae
third supralabial,larger than the fourth,viperidae
subcaudals,unpaired,viperidae
ventral scale counts,158–176,viperidae
tail,"long, 15.9% of tl",viperidae
rattle,"tiny, proximal rattle segment 2.2 mm",viperidae
canthals,relatively large,viperidae
intersupraoculars,"relatively small, 5",viperidae
ventrals,172,viperidae
subcaudals,41,viperidae
hemipenis,with spines on proximal portion of lobes grading abruptly to calyces and large ridged calyces covering apex of each lobe,viperidae
tail,"longer, 15.9% of tl",viperidae
rattle,"proportionally smaller, proximal segment 2.2 mm",viperidae
body,somewhat stouter,viperidae
postcephalic stripes,"prolonged, present",viperidae
occipital blotches,resultant coalition with the first pair of dorsolateral blotches,viperidae
supralabials,evenly pigmented or with large dark markings (covering more than 50% of the supralabial surface),viperidae
anterior half of the mouth,largest spot is exactly under the eye,viperidae
borders of the dorsolateral blotches,well defined contours,viperidae
dorsolateral blotches in the trunk,10-28,viperidae
dorsolateral blotches,"usually triangular, wide and close to each other",viperidae
supralabials,"small, white, prolonged vertically, more conspicuous in the posterior half of the mouth",viperidae
keels of dorsal scales,with characteristic white coloration,viperidae
borders of dorsolateral blotches,little defined contour,viperidae
transverse saddles,difficult to see the pair of secondary blotches,viperidae
scales between subocular and 4th supralabial,one array,viperidae
central intersupraoculars,tendency to increase or coalesce,viperidae
postocular stripe,faintly defined,viperidae
dorsolateral blotches,"frequently of trapezoid format, narrow and close to each other",viperidae
dorsolateral blotches,varying from 20 to 35,viperidae
modes of dorsolateral blotches,21 and 24,viperidae
supralabials,"uniform pigmentation, big dark markings covering more than 50% of the surface",viperidae
spots under the eye,largest,viperidae
dorsolateral blotches of the body,"with well-defined contours, standing out from the ground coloration",viperidae
last dorsolateral blotches of the trunk,vertically divided to the middle,viperidae
postcephalic stripes,"usually absent, never with length larger than occipital length spots",viperidae
head,without melanism,viperidae
postocular stripes,well defined,viperidae
keels,always with the same coloration of the dorsal scales,viperidae
interspaces between two consecutive blotches,present,viperidae
dorsolateral blotches in the trunk,from 16 to 33 (modes 21 and 22),viperidae
postocular stripe,well marked,viperidae
labial fissure,melanism around,viperidae
supralabials,"uniform pigmentation, without conspicuous spots",viperidae
oblique occipital blotches,rarely surpass quadratemandibular articulation,viperidae
postcephalic stripes,absent,viperidae
borders of the dorsolateral blotches,diffuse or well marked,viperidae
blotches between two consecutive dorsolateral blotches,usually absent,viperidae
keels,same coloration of the dorsal scales,viperidae
ground coloration,extremely varied,viperidae
more common coloration,cream tone with black dorsolateral blotches,viperidae
dorsolateral blotches of the trunk,11-25,viperidae
dorsolateral blotches,"variable formats, relatively distant from each other",viperidae
supralabials,"more than half, with dark markings (covering less than 50% of the surface)",viperidae
dark markings,"not very intense, triangular format",viperidae
dorsolateral blotches,"well-defined, outstanding grayground coloration",viperidae
white margins,principal parts of the dorsolateral blotches,viperidae
postcephalic stripes,short and can be present,viperidae
pair of occipital blotches,"different formats, arrangement usually resembles two opposed arrows (""<>"")",viperidae
melanism in the head,absent,viperidae
postocular stripe,very marked,viperidae
keels,same coloration as the dorsal scales,viperidae
dorsolateral blotches in the trunk,"19 to 30 (mode 21), triangular to trapezoid format, close to each other",viperidae
prelacunal,not fused to the second supralabial,viperidae
intersupraoculars,5-9,viperidae
midbody dorsal scale rows,21-26,viperidae
dorsal pattern,lacking,viperidae
"canthus rostralis, snout","not curved upward, not raised",viperidae
occipital stripes,not dark brown,viperidae
venter,brighter,viperidae
"midbody dorsal scale rows, ventrals, subcaudals",higher,viperidae
"ventrals, subcaudals",higher,viperidae
midbody dorsal scale rows,21-26,viperidae
dorsal blotches,"not showing, not arranged on middorsum, not fusing into a zigzag stripe",viperidae
intersupraoculars,4-12,viperidae
small scales,1-2 rows between subocular and fourth supralabial,viperidae
supralabials,"7-10, usually 8-9",viperidae
infralabials,"9-13, usually 10-11",viperidae
midbody dorsal scale rows,21-29,viperidae
"ventrals, subcaudals","157-187 in males, 158-189 in females, 39-61 divided in males, 34-55 in females",viperidae
head blotch,present between canthals,viperidae
dorsolateral blotches,triangular to trapezoidal,viperidae
each dorsolateral blotch,has a pair of oval or round blotches,viperidae
supralabials,with some type of ornamentation in color,viperidae
iris,bronze or bright gold,viperidae
tail tip in juveniles,white,viperidae
venter,white or yellow with gray specks,viperidae
lobes of hemipenis,"moderately attenuated, with 28-35 medium to large spines",viperidae
supralabials,dark brown or brown,viperidae
supralabials,black or dark brown,viperidae
dorsolateral blotches,"well-defined, white-edged",viperidae
head,melanic,viperidae
occipital blotches,generally ellipsoidal,viperidae
dorsolateral blotches,with well-defined borders,viperidae
supralabials,creamish-white with large dark brown blotches,viperidae
supralabials,creamish-white with large dark brown blotches,viperidae
supralabials,"more than half to all creamish-white with small, triangular dark blotches",viperidae
ventral scales,>140,viperidae
size,"relatively small, total length less than 600 mm",viperidae
female,549 mm tl,viperidae
male,573 mm tl,viperidae
tail,comprises 13.7% of the tl in the male and 0.9% in the female,viperidae
nasorostrals,0–1,viperidae
intersupraoculars,"8–, distinctly keeled",viperidae
interrictals,"23–24, keeled",viperidae
supralabials,–11,viperidae
infralabials,11–12,viperidae
ventrals,140,viperidae
subcaudals,37–41,viperidae
dorsal scale rows at midbody,24–25,viperidae
lateral body blotches,26–32,viperidae
tail blotches,5–6,viperidae
female subcaudals,28,viperidae
male subcaudals,37,viperidae
posterior third of body venter,heavily melanized,viperidae
underside of the tail,less than 50% melanized,viperidae
postorbital stripe,"covering more than 50% of only one or two scales from the first temporal row, covering completely only the last scale of the row",viperidae
subocular spot,does not contact the orbit of the eye,viperidae
dark spot below the pit,"small, only encompassing the prelacunal and anterior part of the postlacunal and the edge of the contiguous foveals",viperidae
venter of body,nearly immaculate or with only slight mid-ventral stippling on the anterior two thirds of the body,viperidae
size,small,viperidae
maximum length,384mm,viperidae
enlarged supraocular scales,lack of,viperidae
lanceolate or acuminate scales on top of the head,lack of,viperidae
keeled gular scales,weakly,viperidae
interoculabials,lacking,viperidae
transverse head scales,19–21,viperidae
midbody scale rows (msr),21–23,viperidae
lateral body scales,not serrated,viperidae
supralabials,8–9,viperidae
ventral counts,128–137,viperidae
subcaudal counts,39–47,viperidae
tail,prehensile,viperidae
size,extremely small size for protobothrops,viperidae
svl adult male,up to 591 mm,viperidae
lcd adult male,142 mm,viperidae
svl female,up to 576 mm,viperidae
lcd female,123 mm,viperidae
body shape,"slender, slightly compressed",viperidae
ventral scales (v),188-194,viperidae
subcaudal scales (scd),75 - 76 pairs,viperidae
anal plate,entire,viperidae
scale rows,"oblique, rhomboid, strongly keeled",viperidae
dorsal scales,first row strongly keeled,viperidae
scale row counts,"sql - 19, sq2 - 19, sq3 - 17 rows",viperidae
head,"very small, triangular and distinct from the neck",viperidae
head shields,"very small, convex of irregular shape",viperidae
supralabials,8 - 9,viperidae
infralabials,11 - 12,viperidae
rostral shield,isosceles triangle with truncated top,viperidae
symphysial,"relatively large, triangular",viperidae
anterior genial shields,very large,viperidae
posterior genial shields,small,viperidae
nostril,"very large, trapeziform",viperidae
dorsal coloration,grayish-brown,viperidae
body and tail,"76 - 84 dark brown bands with rough edges, often broken into separate spots most intensive colored in the middle of dorsum",viperidae
belly color,"dark gray, almost black close-by tail",viperidae
size,small to medium,viperidae
ground color,non-bilineate,viperidae
belly,white,viperidae
lateral blotches and spots,small,viperidae
labials in males,dark sutures,viperidae
dorsal zigzag band,"pointed comers of windings, or with transverse bars",viperidae
number of dorsal windings,high,viperidae
rostral,squarish,viperidae
loreal number,variable,viperidae
circumoculars,many,viperidae
upper preocular,in contact with nasal,viperidae
crown scales,medium,viperidae
parietals,fragmented or no,viperidae
supralabials on each side,nine,viperidae
posterior supralabials,the same size as anterior ones,viperidae
supralabial below orbit,fourth,viperidae
sublabials on each side,ten,viperidae
mental scales,normally four,viperidae
dorsal scale row reduction,early,viperidae
rows on neck,21,viperidae
rows at midbody,21,viperidae
ventral number,high,viperidae
number of subcaudals,high,viperidae
taxon,smallest,viperidae
number of ventrals,highest,viperidae
labial pattern,sharp sexual dimorphism,viperidae
loreal number,sharp sexual dimorphism,viperidae
dorsal scale row reduction,early,viperidae
ventrals,whitish,viperidae
number of supralabials,high,viperidae
parietals,partly fragmented,viperidae
number of scales,mean number of eight,viperidae
suture on supralabials,banded black,viperidae
lateral body pattern,reduced to squarish rhombic spots,viperidae
dorsal scales,pronouncedly keeled,viperidae
head,depressed,viperidae
eyes,on the lateral part of the head but slightly directed upwards,viperidae
supraocular coronets (crowns),"present, consist of several sulcated, medium sized scales",viperidae
nostril,slit-shaped,viperidae
interorbital scales,low number,viperidae
dorsal scale rows,19-26-16,viperidae
purple-red marking,absence,viperidae
fused first supralabial and nasal scale,presence,viperidae
eye,relatively larger size,viperidae
supraoculars,relatively wider,viperidae
head shape,"widens abruptly behind the eyes, characteristically triangular shape",viperidae
scales between the supraoculars in males (btwsupoc2),more,viperidae
eye in males (deye),relatively larger,viperidae
postocular white stripe in males (scroc),more prominent,viperidae
scale reduction from 19 to 17 scale rows around the body (vs19to17),tends to occur further away from the head,viperidae
scales bordering the supralabial scales in males (borsupoc),"fewer, larger",viperidae
keeled temporal scales in males (ktemp),less,viperidae
lateral white stripe in females,much more prominent,viperidae
scale between the nasal scale and the anterior edge of the pit (naspit),present,viperidae
scales bordering the supralabial scales in females (borsupoc),"more, smaller",viperidae
sublabial scales in females (sublab),higher number,viperidae
keeled body scales at mid-body in females (bsck),more,viperidae
ventral scales in females,larger number,viperidae
nasal scale,first supralabial and nasal scale fused,viperidae
eye,larger,viperidae
supraoculars,wider,viperidae
shape of the head,"more elongate–oval, widens abruptly behind the eyes",viperidae
cryptelytrops rubeus head,triangular shaped,viperidae
scales between the rear edges of the supraoculars (btwsupoc2),fewer,viperidae
eye (deye),relatively smaller,viperidae
postocular white stripe (scroc),less prominent,viperidae
dorsal scale rows (dv19to17),reduction from 19 to 17,viperidae
body scales at mid-body (bsck),"less keeled, fewer",viperidae
head length (lhead),relatively shorter,viperidae
scales between the nasal scale and the scale bordering the anterior edge of the pit (naspit),small scale is never present,viperidae
first dorsal scale row (scr1),lateral white stripe covers a larger proportion,viperidae
sublabial scales (sublab),fewer,viperidae
chin shields (ventedge),fewer scales between the last supralabial and the chin shields,viperidae
temporal scales (ktemp),less keeled,viperidae
ventral scales,fewer,viperidae
tail scale rows (sc12o10),reduction from 12 to 10,viperidae
first supralabial,completely separated from the nasal,viperidae
dorsum,uniform green,viperidae
eyes,deep red,viperidae
tail,prehensile,viperidae
end of tail,rusty red,viperidae
body size,large,viperidae
maximum total length,exceeding 1000 mm,viperidae
body size,"relatively small, 609–805 mm",viperidae
dorsal scales,"keeled throughout, in 23(rarely 25): 21(19): 17(15) rows",viperidae
ventral scales,"186–193 in male, 190 in female",viperidae
subcaudals,"78–85 pairs in male, 74 in female",viperidae
supralabials,7–8,viperidae
infralabials,11–12,viperidae
scales,10–12 between midsection of supraoculars in a line,viperidae
4th supralabials separation from suboculars,one row of scales,viperidae
small and thin body bands across body and tail,68–72,viperidae
tal/svl ratio,"0.238–0.269 in male, 0.190 in female",viperidae
sl/hl ratio,"0.308–0.326 in male, 0.344 in female",viperidae
ed/hl ratio,"0.164–0.176 in male, 0.152 in female",viperidae
color pattern,unique,viperidae
dorsal figures,"14-19, triangular, black",viperidae
figure edges,gray or cream,viperidae
rounded spots near base of figures,no specific adjective,viperidae
spots between triangles and along sides,"dark grey or black, rounded or oval",viperidae
dorsal triangles,"can join to form ""bowtie"" shape, sometimes separated",viperidae
body sides,clear (cream) edges,viperidae
lower mouth region,cream to almost white,viperidae
belly,cream speckled with black,viperidae
dorsal coloration,varies from light gray to grayish yellow,viperidae
male size,110 cm,viperidae
female size,130 cm,viperidae
size can reach,210 cm,viperidae
head shape,"longer than wide, pointed like arrowhead, differentiated from neck",viperidae
upper part of cerebrum,two lines that form a triangle,viperidae
eye,"medium in size, vertical pupil",viperidae
supralabials,7-9,viperidae
infralabials,7-12,viperidae
loreals,1,viperidae
preoculars,3,viperidae
postoculars,4-5,viperidae
midbody dorsal scales,24-28,viperidae
male ventrals,180-203,viperidae
female ventrals,184-215,viperidae
male subcaudals,58-66,viperidae
female subcaudals,56-62,viperidae
anal plate,single,viperidae
"dark, narrow streak",from postocular region to angle of mouth,viperidae
body shape,slightly triangular,viperidae
dorsal scales,keeled,viperidae
thermoreceptors,"at same distance from eyes and nasal cavity, in contact with second supralabial scale",viperidae
mental scale,wider than long,viperidae
rostral scale,heptagonal,viperidae
genial scales,arranged 2+2,viperidae
scales on head,smooth or irregularly keeled,viperidae
scales on chin,smooth or irregularly keeled,viperidae
second upper labial,fused,viperidae
scale forming anterior border of facial pit,forming,viperidae
light stripe,"distinct, along outer scale row",viperidae
series of light spots,along outer scale row,viperidae
dorsal color,"yellow, greenish yellow",viperidae
pigments forming patches,"darker, irregular spotted patches, along middorsum",viperidae
tail,not distinctly differentiated from body by color,viperidae
hemipenes,without spines,viperidae
head scales count,high,viperidae
supraoculars,strongly projected,viperidae
intercanthal scales,higher number,viperidae
supralabial scales,higher number,viperidae
infralabial scales,higher number,viperidae
outer circumocular scales,higher number,viperidae
intersupraocular rows of scales,highest number,viperidae
dorsal zigzag blotches shape,square-shaped,viperidae
fusion of dorsal blotches,straight vertebral line,viperidae
fusion of the dorsal blotches,has occurred on tail and in the second specimen the fusion of the dorsal blotches can be seen in posterior third of dorsal side of body,viperidae
rostral,"broader than high, front surface flat to moderately concave",viperidae
preoculars,"two or three (m. melanurus), upper preocular largest and squarish",viperidae
supraocular,"single, large, flat, plate-like above eye, or two to three supraoculars along dorsal margin of eye",viperidae
supralabials,seven to 14,viperidae
infralabials,eight to 13,viperidae
crown of head,"covered with relatively large, flat scales with keeling beginning in parietal area, or by small keeled scales",viperidae
postoculars,one to two,viperidae
mid-dorsal scale rows,17–21,viperidae
mid-dorsal scales,"moderately slender and pointed, or broad and obtusely rounded",viperidae
ventral count,"129–148 in m. barbouri and m. browni, 137–169 in m.melanurus",viperidae
subcaudals,"undivided, 26–35, 42-64 in m. melanurus",viperidae
tail spine,"straight or distally curved upwards, moderately long",viperidae
dorsal zigzag stripe,"ill-defined, bordered narrowly with black, or broken into discrete blotches",viperidae
lateral body blotches,25–28 dark brown,viperidae
dorsal ground color,reddish brown,viperidae
nasal bone,lateral edge expanded into roughly triangular shape,viperidae
frontal bones,"mostly flat, dorsal surface with slightly elevated margins or concave dorsal surface",viperidae
postfrontal,"moderate in size, or relatively small",viperidae
palatine teeth,three,viperidae
pterygoid teeth,"ten to 12, or seven to ten",viperidae
dentary teeth,"eight to 12, or seven to nine",viperidae
maxillary fang,"relatively short, only slightly longer than height of maxilla",viperidae
dorsal surface of parietal,"mostly flat, or roughly triangular",viperidae
efs,"medium and large size, very widened mouth",viperidae
dorsal spots,"diagonal shape, narrow, strongly extended under the back",viperidae
body length,500 mm,viperidae
tail length,55 mm,viperidae
ventr.,167,viperidae
scd.,31,viperidae
sq.,29,viperidae
front part of the mouth,very wide,viperidae
coloring of the upper side of the body,light brown,viperidae
drawing of the head,significantly reduced,viperidae
light spot,in the back of the head,viperidae
dark ring-shaped part,in the middle part of the head,viperidae
lateral arcs,only in the form of small light lines,viperidae
dorsal complex spot,has two lateral arches flanked by a dark section,viperidae
this complex,has the form of a bright wide transverse stripe,viperidae
abdomen,spotless,viperidae
hemipenes,long,viperidae
supralabial,distinct,viperidae
dsr around neck,23 – 25,viperidae
msr,"21, keeled",viperidae
overall coloration,green with reddish-brown crossbands,viperidae
postocular streak,"reddish brown, wide upper part, white, narrow lower part",viperidae
ventrolateral stripe in males,"thin, white (above), red (below)",viperidae
ventrolateral stripe in females,"light green (above), red (below)",viperidae
tail,rather long,viperidae
talgtl ratio in males,between 0.19 and 0.23,viperidae
